,id,name,lon,lat,temp,humidity,clouds,wind
412,1861280,Itoman,127.67,26.12,295.3,73,75,3.6
413,3661980,Tarauaca,-70.77,-8.16,294.87,99,100,1.01
414,1648636,Bitung,125.19,1.44,304.15,66,20,3.6
415,2643218,Maesteg,-3.65,51.6,280.97,93,75,4.1
416,3393692,Itarema,-39.92,-2.92,298.57,84,52,2.6
417,3419842,Sisimiut,-53.67,66.94,259.66,86,97,2.07
418,1513714,Kosonsoy,71.55,41.25,280.15,48,100,2.1
419,780687,Berlevag,29.09,70.86,277.19,89,100,14.82
420,2610806,Vagur,-6.81,61.47,282.48,77,100,15.2
421,2634739,Warrington,-2.59,53.39,281.16,93,100,5.7
422,1151464,Phangnga,98.53,8.45,305.2,62,20,2.1
423,2088163,Popondetta,148.24,-8.77,293.1,99,99,0.68
