,City ID,City name,City longitude,City latitude,Max Temperature,Humidity,Cloud coverage,Wind Speed,City Country,City Datetime,Temperature
28,1789065,Ankang,108.99,32.73,,60,0,1.37,CN,1577671645.0,281.11
29,3874787,Punta Arenas,-70.91,-53.16,,47,8,5.1,CL,1577671574.0,285.0
30,6201424,Mataura,168.86,-46.19,,78,91,7.6,NZ,1577671579.0,287.59
31,2013465,Verkhoyansk,133.39,67.55,,75,0,1.21,RU,1577671646.0,238.99
32,2643097,Mansfield,-1.2,53.14,,100,90,4.1,GB,1577671583.0,277.88
33,2456917,Goundam,-3.66,16.42,,11,0,4.91,ML,1577671615.0,291.24
34,1273294,Dwarka,77.04,28.58,,100,90,0.66,IN,1577671646.0,282.08
35,3437029,San Patricio,-56.83,-26.98,,52,0,2.38,PY,1577671610.0,300.76
36,4033557,Tautira,-149.15,-17.73,,70,40,7.7,PF,1577671625.0,303.15
37,3517970,Pochutla,-96.47,15.74,,78,20,4.1,MX,1577671647.0,299.35
38,2175403,Bluff,149.07,-23.58,,42,25,5.56,AU,1577671591.0,304.24
39,3418910,Upernavik,-56.15,72.79,,78,100,6.45,GL,1577671647.0,263.27
40,4035715,Avarua,-159.78,-21.21,,78,100,1,CK,1577671576.0,298.15
41,470905,Vuktyl,57.31,63.86,,80,100,7.68,RU,1577671648.0,258.02
42,2075265,Busselton,115.35,-33.64,,26,92,4.06,AU,1577671598.0,293.99
43,3359638,Walvis Bay,14.51,-22.95,,87,29,3.6,NA,1577671648.0,289.2
44,344979,Lebu,38.73,8.96,,88,90,0.28,ET,1577671574.0,284.92
45,3863379,Mar del Plata,-67.52,-46.43,,62,59,2.56,AR,1577671393.0,289.13
46,286621,Salalah,54.1,17.01,,73,41,4.6,OM,1577671607.0,297.15
47,3833367,Ushuaia,-68.31,-54.81,,57,11,3.1,AR,1577671547.0,284.15
48,3356832,Henties Bay,14.28,-22.12,,93,95,0.45,NA,1577671591.0,289.26
49,3691954,Sechura,-80.82,-5.56,,87,99,3.75,PE,1577671649.0,294.95
50,2017155,Saskylakh,114.09,71.97,,92,90,2.4,RU,1577671577.0,239.51
51,1504382,Kargasok,80.87,59.06,,99,0,1.49,RU,1577671650.0,246.68
52,2450173,Taoudenni,-3.98,22.68,,23,0,5.2,ML,1577671650.0,287.89
53,4031574,Provideniya,-173.23,64.42,,60,0,7,RU,1577671650.0,260.15
54,3529654,Dzilam Gonzalez,-88.93,21.28,,84,62,5.35,MX,1577671650.0,298.62
55,5969785,Hamilton,-79.87,43.26,,100,90,12.3,CA,1577671389.0,274.81
56,128234,Kerman,57.06,30.29,,63,0,2.1,IR,1577671651.0,271.15
57,3542167,Rio Cauto,-76.92,20.56,,88,75,5.1,CU,1577671651.0,298.15
58,6185377,Yellowknife,-114.38,62.45,,75,75,2.73,CA,1577671456.0,245.3
59,1160571,Khash,61.21,28.22,,67,0,1.6,IR,1577671651.0,279.11
60,6165406,Thompson,-97.86,55.74,,84,20,1,CA,1577671585.0,255.15
61,5924351,Clyde River,-68.59,70.47,,61,20,4.1,CA,1577671606.0,262.15
62,3127461,Burgos,-3.7,42.34,,86,36,0.5,ES,1577671652.0,274.45
63,4011743,Constitucion,-104.67,23.99,,26,5,5.7,MX,1577671652.0,286.15
64,2012530,Zhigansk,123.37,66.77,,94,100,9.11,RU,1577671653.0,240.67
65,4720039,Port Arthur,-93.93,29.9,,66,1,4.1,US,1577671653.0,286.16
66,3453315,Pocone,-56.62,-16.26,,69,87,1.51,BR,1577671653.0,299.81
67,2122090,Pevek,170.27,69.7,,98,100,3.35,RU,1577671610.0,241.79
68,5882953,Aklavik,-135.01,68.22,,68,75,3.1,CA,1577671604.0,246.15
69,5293183,Drexel Heights,-111.03,32.14,,52,1,2.6,US,1577671654.0,277.92
70,6540127,Olbia,9.49,40.92,,52,0,4.1,IT,1577671627.0,278.15
71,2618795,Klaksvik,-6.59,62.23,,81,82,12.9,FO,1577671654.0,280.15
72,3374210,Sao Filipe,-24.5,14.9,,67,0,5.48,CV,1577671654.0,295.09
73,2729907,Longyearbyen,15.63,78.22,,60,0,9.8,NO,1577671624.0,261.15
74,490040,Sovetskiy,48.47,56.76,,92,0,2.76,RU,1577671655.0,256.31
75,262462,Saint George,22.34,39.45,,48,40,10.3,GR,1577671655.0,277.68
76,3492908,Santo Domingo,-69.94,18.48,,94,20,2.1,DO,1577671470.0,296.79
77,2162737,Ingham,146.16,-18.65,,40,16,3.47,AU,1577671655.0,305.25
78,3466980,Caravelas,-39.27,-17.73,,88,2,1.04,BR,1577671625.0,294.24
79,515873,Oktyabrskiy,37.97,55.61,,86,90,4,RU,1577671656.0,269.65
80,2065594,Mount Isa,139.49,-20.73,,17,38,2.6,AU,1577671656.0,311.15
81,390054,Baft,56.61,29.23,,54,0,1.2,IR,1577671656.0,274.75
82,2094342,Kavieng,150.8,-2.57,,74,39,5.98,PG,1577671576.0,302.26
83,964712,Plettenberg Bay,23.37,-34.05,,94,77,1.76,ZA,1577671656.0,292.29
84,3424607,Tasiilaq,-37.64,65.61,,53,83,2.6,GL,1577671592.0,268.15
85,4034188,Moerai,-151.33,-22.43,,85,100,1.92,PF,1577671657.0,297.85
86,172515,Abu Samrah,37.18,35.3,,79,0,3.03,SY,1577671657.0,281.11
87,2122614,Ekhabi,142.97,53.51,,82,51,3.62,RU,1577671657.0,254.07
88,2973882,Soyaux,0.19,45.64,,100,0,0.5,FR,1577671657.0,273.48
89,2449893,Tessalit,1.01,20.2,,17,0,4.62,ML,1577671609.0,287.44
90,304183,Bayir,28.22,37.27,,75,75,4.6,TR,1577671658.0,281.15
91,2249901,Gat,-16.54,14.69,,23,100,5.1,SN,1577671658.0,297.15
92,3372707,Ribeira Grande,-28.7,38.52,,69,79,3.5,PT,1577671658.0,285.82
93,2377457,Nouadhibou,-17.03,20.93,,42,100,5.1,MR,1577671610.0,292.15
